t_sec,cpu_temp,cpu_usage_percent,mem_used_percent
0,60.85,1.46,24.65
30,60.85,0.0,24.64
60,57.85,1.37,24.6
90,57.85,1.47,24.61
120,56.85,1.43,24.55
150,64.85,1.26,24.5
180,55.85,1.22,24.65
210,56.85,1.71,24.61
240,57.85,1.24,24.56
270,56.85,1.96,24.52
300,54.85,1.22,24.53
