t_sec,cpu_temp,cpu_usage_percent,mem_used_percent
0,64.85,22.47,12.02
30,64.85,12.38,12.38
60,60.85,0.96,12.2
90,63.85,7.53,12.08
120,60.85,9.56,12.23
150,62.85,5.86,12.21
180,58.85,13.45,12.09
210,63.85,5.89,12.06
240,60.85,1.24,12.06
270,60.85,2.44,12.02
300,61.85,1.65,12.23
