t_sec,cpu_temp,cpu_usage_percent,mem_used_percent
0,59.85,1.24,18.12
30,55.85,2.13,18.09
60,53.85,1.12,17.96
90,55.85,0.78,18.0
120,56.85,1.09,17.95
150,54.85,0.82,18.0
180,57.85,1.16,17.98
210,55.85,0.84,17.98
240,55.85,1.17,18.0
270,56.85,0.52,17.97
300,57.85,0.5,17.96
